db_id	query	scaff	strand	coords	db	crossref_id	crossref_method	name	taxon_name	taxon_id	evalue	score	seqid	qcov	tcov
WP_251174786.1	WP_020634197.1	NZ_JAMAWE010000007.1	+	65905..66657	local_clustered	WP_251174786.1	local_clustered	class I SAM-dependent methyltransferase	GCF_023713405.1	665099	0.00003628	288	8.8	67.9	99.2
WP_251174788.1	WP_020634195.1	NZ_JAMAWE010000007.1	+	67044..67676	local_clustered	WP_251174788.1	local_clustered	TfuA-like protein	GCF_023713405.1	665099	6.689e-16	692	30.0	95.39999999999999	98.1
WP_251174792.1	WP_020634196.1	NZ_JAMAWE010000007.1	+	71184..72536	local_clustered	WP_251174792.1	local_clustered	YcaO-like family protein	GCF_023713405.1	665099	1.631e-32	1480	28.9	96.89999999999999	97.6
WP_320210585.1	WP_020634195.1	NZ_JAXBME010000016.1	-	107619..108311	local_clustered	WP_320210585.1	local_clustered	TfuA-like protein	GCF_033963835.1	3097357	2.957e-20	859	31.9	97.3	92.60000000000001
WP_320210586.1	WP_020634196.1	NZ_JAXBME010000016.1	-	108277..109557	local_clustered	WP_320210586.1	local_clustered	YcaO-like family protein	GCF_033963835.1	3097357	1.856e-34	1563	32.8	96.0	98.4
WP_394542840.1	WP_020634197.1	NZ_CP027936.1	+	67481..68233	local_clustered	WP_394542840.1	local_clustered	methyltransferase domain-containing protein	GCF_043538165.1	412384	0.0002095	258	6.8	68.10000000000001	99.6
WP_456364915.1	WP_020634195.1	NZ_CP027936.1	+	68755..69243	local_clustered	WP_456364915.1	local_clustered	TfuA-like protein	GCF_043538165.1	412384	1.264e-11	528	29.3	73.1	98.1
WP_394542831.1	WP_020634196.1	NZ_CP027936.1	+	72776..74137	local_clustered	WP_394542831.1	local_clustered	YcaO-like family protein	GCF_043538165.1	412384	1.787e-33	1521	32.2	96.0	97.39999999999999
WP_394542831.1	WP_020634196.1	NZ_CP027994.1	-	18085..19446	local_clustered	WP_394542831.1	local_clustered	YcaO-like family protein	GCF_043541695.1	412384	1.787e-33	1521	32.2	96.0	97.39999999999999
WP_394542837.1	WP_020634195.1	NZ_CP027994.1	-	22980..23504	local_clustered	WP_394542837.1	local_clustered	TfuA-like protein	GCF_043541695.1	412384	1.264e-11	528	29.3	73.1	98.1
WP_394542840.1	WP_020634197.1	NZ_CP027994.1	-	23991..24743	local_clustered	WP_394542840.1	local_clustered	methyltransferase domain-containing protein	GCF_043541695.1	412384	0.0002095	258	6.8	68.10000000000001	99.6
WP_446246593.1	WP_020634191.1	NZ_CM128249.1	+	1755064..1756254	local_clustered	WP_446246593.1	local_clustered	cytochrome P450	GCF_052828565.1	3463856	4.366e-24	1288	27.2	99.3	99.7
