Organism	Scaffold	Start	End	Score	WP_020634191.1	WP_020634193.1	WP_020634194.1	WP_020634195.1	WP_020634196.1	WP_020634197.1	WP_020634198.1	WP_020634199.1	WP_020634200.1	WP_020634201.1	WP_020634202.1	WP_020634203.1	WP_143267610.1
GCF_022221285.1	NZ_CP076216.1	1215590	1219455	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050269515.1	NZ_JBNNIM010000001.1	476853	480718	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051781565.1	NZ_JBPWJO010000004.1	200486	204351	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_007682005.1	NZ_VEMA01000003.1	99721	103586	1224.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022663575.1	NZ_JAKUFU010000003.1	194051	197916	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050457765.1	NZ_JBCMJY010000005.1	82220	86085	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_026689535.1	NZ_JAOZJL010000001.1	1215887	1219752	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050272395.1	NZ_JBNNMB010000009.1	48386	55356	1192.0000	0	1	0	0	1	0	0	0	0	0	0	0	0
GCF_021655235.1	NZ_AP022970.1	1257600	1261465	1217.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_054326895.1	NZ_JBTGOZ010000034.1	129925	133790	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002569385.1	NZ_NVFI01000009.1	82549	86414	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035806615.1	NZ_JARRWU010000015.1	172594	177522	1243.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000278385.1	NZ_AGQP01000026.1	173132	176997	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027716845.1	NZ_JAQFUZ010000002.1	133522	137387	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_026626415.1	NZ_JAPNOF010000002.1	210128	212457	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051776405.1	NZ_JBPWAA010000003.1	201391	205256	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040807465.1	NZ_JBFQEA010000003.1	109361	113226	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002569675.1	NZ_NVGJ01000003.1	160355	164220	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050457805.1	NZ_JBCMKB010000021.1	37839	41704	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040797085.1	NZ_JBFNPO010000007.1	11868	15733	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_034259245.1	NZ_CP139483.1	1199133	1202998	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_018221485.1	NZ_PHKO01000001.1	511509	515374	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036217385.1	NZ_JARMNI010000052.1	26013	29878	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782065.1	NZ_JBPWKN010000012.1	115347	119212	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782765.1	NZ_JBPWLW010000004.1	183023	186888	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050269595.1	NZ_JBNNIQ010000017.1	89210	93075	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036212025.1	NZ_JARMCV010000003.1	431059	434924	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_046267865.1	NZ_CP176523.1	600705	605625	1279.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_011751595.1	NZ_JAAAWS010000011.1	146543	150408	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002146775.1	NZ_NFDI01000062.1	1064486	1068351	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022221245.1	NZ_CP076210.1	1218562	1222427	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040492375.1	NZ_JBEUTJ010000001.1	1533790	1536119	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_009831675.1	NZ_VTZJ01000003.1	472604	476469	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050627335.1	NZ_JBNTKQ010000006.1	171830	175695	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001677295.1	NZ_LBCA01000001.1	91996	95861	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_004116065.1	NZ_SDFO01000001.1	399616	403481	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_025517335.1	NZ_JAOPQJ010000077.1	9407	13272	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_023502705.1	NZ_JAMBME010000001.1	409307	413172	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782185.1	NZ_JBPWKT010000009.1	55111	58976	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000743805.1	NZ_KN050648.1	679328	683193	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027626015.1	NZ_CP115303.1	1710924	1714789	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000832825.1	NZ_CP009600.1	4253385	4257250	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_038008665.1	NZ_JBBOZP010000001.1	1256076	1259941	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_026786565.1	NZ_JAKOBG010000008.1	259264	261593	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782645.1	NZ_JBPWLQ010000007.1	36044	39909	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050463805.1	NZ_JBCMRG010000016.1	115930	119795	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015845075.1	NZ_LDGX01000034.1	108243	112060	1214.0000	0	0	0	0	2	1	0	0	0	0	0	0	0
GCF_015845075.1	NZ_LDGX01000005.1	11159	15024	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_030270645.1	NZ_BSYL01000001.1	1631437	1633766	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051778705.1	NZ_JBPWEK010000003.1	384469	388334	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_039704545.1	NZ_JBDIBS010000014.1	20979	23308	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051914845.1	NZ_JBQADP010000003.1	390465	394330	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022221025.1	NZ_CP076178.1	1219611	1223476	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002563025.1	NZ_NTSA01000127.1	65203	70149	1247.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_020861345.1	NZ_CP086328.1	3871084	3874949	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_020861345.1	NZ_CP086329.1	164625	169428	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_047291455.1	NZ_JBLBSE010000010.1	111249	115114	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001883995.1	NZ_MACE01000009.1	68584	72449	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027695295.1	NZ_JAQEUS010000014.1	4681	8546	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001884235.1	NZ_MAOI01000107.1	36925	40790	1224.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051915145.1	NZ_JBQAED010000002.1	55213	59078	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000161135.1	NZ_CM000727.1	1179946	1183811	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782125.1	NZ_JBPWKQ010000007.1	176896	180761	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_042883425.1	NZ_JBHVVQ010000002.1	485872	489737	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
