number	hits	start	end	length	score	scaff	strand	taxon_name	taxon_id
1	WP_251174786.1,WP_251174788.1,WP_251174792.1	65905	72536	2739	2460	NZ_JAMAWE010000007.1		GCF_023713405.1	665099
2	WP_320210585.1,WP_320210586.1	107619	109557	1974	2422	NZ_JAXBME010000016.1		GCF_033963835.1	3097357
3	WP_394542840.1,WP_456364915.1,WP_394542831.1	67481	74137	2604	2307	NZ_CP027936.1		GCF_043538165.1	412384
4	WP_394542831.1,WP_394542837.1,WP_394542840.1	18085	24743	2640	2307	NZ_CP027994.1		GCF_043541695.1	412384
5	WP_446246593.1,WP_446246596.1	1755064	1761178	3138	2260	NZ_CM128249.1		GCF_052828565.1	3463856
6	WP_214483792.1,WP_214483793.1	43059	45012	1992	2255	NZ_JAEUFG010000022.1		GCF_018588585.1	2805366
7	WP_427416292.1,WP_427416293.1	39929	41879	1989	2246	NZ_JBNNUX010000028.1		GCF_050280145.1	3390577
8	WP_053363413.1,WP_053363415.1,WP_053363419.1	3852859	3863010	3438	2167	NZ_LIGG01000001.1		GCF_001273925.1	1684142
9	WP_139859881.1,WP_173477959.1,WP_173477953.1	927579	936916	2745	2159	NZ_CP085880.1		GCF_006351725.2	2892541
10	WP_337981978.1,WP_173477959.1,WP_337982208.1	1875374	1883778	2745	2159	NZ_CP065546.1		GCF_015999545.1	2792480
11	WP_402889482.1,WP_402888618.1,WP_402888626.1	13536	23766	2745	2159	NZ_JBIWDA010000002.1		GCF_044761745.1	3364143
12	WP_418201569.1,WP_418201573.1,WP_418201579.1	9074	21759	3465	2155	NZ_JBLWFS010000031.1		GCF_048323755.1	3402081
13	WP_340826138.1,WP_340826147.1,WP_340826532.1	4419355	4428648	2748	2151	NZ_JBBOZQ010000001.1		GCF_038008685.1	2954643
14	WP_401009645.1,WP_401009651.1,WP_401009881.1	609582	619846	2748	2151	NZ_JBIVOE010000002.1		GCF_044753985.1	3364133
15	WP_340826532.1,WP_401021363.1,WP_401021371.1	170784	179048	2748	2151	NZ_JBIVOH010000008.1		GCF_044754025.1	3364132
16	WP_403054791.1,WP_403048552.1,WP_403048562.1	148773	158331	2748	2151	NZ_JBIWBS010000001.1		GCF_044761135.1	3364145
17	WP_402764573.1,WP_401021363.1,WP_402764814.1	51027	60298	2748	2151	NZ_JBIWDT010000005.1		GCF_044762185.1	3364140
18	WP_403054791.1,WP_403048552.1,WP_403048562.1	148952	158510	2748	2151	NZ_JBIWEQ010000001.1		GCF_044762625.1	3364139
19	WP_427429532.1,WP_427429538.1,WP_427429672.1	453829	463785	2748	2151	NZ_JBNNUU010000003.1		GCF_050280025.1	3390579
20	WP_190997879.1,WP_190997881.1,WP_190997882.1	60532	67726	4641	1958	NZ_JACXSI010000016.1		GCF_014712675.1	2772559
21	WP_341331785.1,WP_341331786.1,WP_341331789.1	3005881	3013432	4689	1945	NZ_JBBPAM010000001.1		GCF_038050315.1	2954540
22	WP_341331789.1,WP_440272956.1,WP_121449440.1	242	7793	4689	1945	NZ_JBQCLH010000016.1		GCF_051966215.1	3387275
23	WP_239820780.1,WP_001096887.1,WP_012118721.1,WP_007407684.1	733598	3657672	4611	1909	NZ_CP092412.1		GCF_022370935.1	492670
24	WP_028391094.1,WP_034300935.1,WP_028391100.1	579384	592330	3441	1863	NZ_KI632495.1		GCF_000504145.1	1208599
25	WP_050614950.1,WP_050614951.1,WP_050614953.1	1912229	1918781	4770	1851	NZ_LN851186.1		GCF_001243895.1	1622072
26	WP_217642402.1,WP_090765108.1,WP_090765119.1	47101	55882	3591	1847	NZ_FNHN01000011.1		GCF_900103525.1	1882761
27	WP_307311374.1,WP_307301336.1,WP_307301342.1	947416	957852	3402	1829	NZ_JAUSZN010000001.1		GCF_030817595.1	3035913
28	WP_335717330.1,WP_420491885.1,WP_335717336.1	5954	14717	3582	1816	NZ_JBALON010000279.1		GCF_036962665.1	86668
29	WP_213126922.1,WP_213126925.1,WP_213126926.1	29807	37959	3924	1749	NZ_JAGYPG010000005.1		GCF_018343625.1	2833580
30	WP_400434246.1,WP_400434264.1	55823	63448	2652	1717	NZ_JBIVOP010000026.1		GCF_044754175.1	3364296
31	WP_307228599.1,WP_307228910.1,WP_307228611.1	11841	22250	3765	1708	NZ_JAUSTT010000009.1		GCF_030812995.1	587633
32	WP_307228599.1,WP_307228910.1,WP_307228611.1	293519	303905	3765	1708	NZ_JBHRZQ010000013.1		GCF_042651685.1	587633
33	WP_113937725.1,WP_113937729.1,WP_113937730.1	163834	171688	4839	1693	NZ_QNRN01000012.1		GCF_003315125.1	1030092
34	WP_113937725.1,WP_113937729.1,WP_113937730.1	163890	171744	4839	1693	NZ_QTTY01000008.1		GCF_003386775.1	1405
35	WP_404491162.1,WP_404491163.1,WP_113937725.1	298758	306612	4839	1693	NZ_JBIYCT010000003.1		GCF_044907945.1	3156285
36	WP_113937725.1,WP_113937729.1,WP_113937730.1	53997	61851	4839	1693	NZ_JBIYCW010000012.1		GCF_044908115.1	3156288
37	WP_113937730.1,WP_113937729.1,WP_113937725.1	1083823	1091677	4839	1693	NZ_JBNNVF010000001.1		GCF_050280405.1	1405
38	WP_338786213.1,WP_338786217.1	3471690	3478338	2706	1657	NZ_CP147403.1		GCF_037201795.1	3117747
39	WP_099363270.1,WP_099362907.1	17186	22104	2724	1646	NZ_NSEB01000011.1		GCF_002734215.1	1571209
40	WP_388035677.1,WP_304220198.1	423435	428290	2724	1646	NZ_JBHUEK010000007.1		GCF_042680725.1	2595041
41	WP_402874229.1,WP_402987405.1	987753	993123	2679	1640	NZ_JBIWCZ010000001.1		GCF_044761765.1	3364401
42	WP_402874219.1,WP_402874229.1	108797	115169	2697	1640	NZ_JBIWDN010000007.1		GCF_044762045.1	3364398
